nmf_component_id,top_keywords,keyword_weights
0,"represents, best, graph, line, describes, represented, inequality, amount, situation, table","2.2459, 2.2458, 1.0850, 0.8413, 0.5506, 0.2692, 0.2335, 0.1966, 0.1961, 0.1791"
1,"value, makes, expression, values, given, proves, true, estimate, place, rectangle","1.9614, 0.1833, 0.1315, 0.0782, 0.0707, 0.0609, 0.0529, 0.0459, 0.0370, 0.0328"
2,"solution, set, system, equations, inequality, following, real, graph, sentence, graphed","2.1953, 0.3551, 0.2846, 0.1894, 0.1768, 0.1124, 0.1024, 0.0874, 0.0476, 0.0343"
3,"equivalent, expression, zero, equal, denominator, polynomial, form, simplest, equals, identify","1.4685, 1.3686, 0.3847, 0.2603, 0.2042, 0.1545, 0.1526, 0.1465, 0.1365, 0.0995"
4,"number, sentence, total, shows, miles, table, represented, line, property, using","1.8448, 0.5395, 0.5365, 0.2089, 0.1633, 0.1585, 0.1507, 0.1468, 0.1329, 0.1226"
5,"statement, true, following, makes, make, describes, based, triangles, days, shown","1.3923, 1.2211, 0.3212, 0.2029, 0.1783, 0.1593, 0.0993, 0.0891, 0.0870, 0.0858"
6,"shown, triangle, figure, closest, shaded, circle, length, area, model, height","0.8534, 0.5823, 0.5331, 0.4207, 0.3335, 0.2979, 0.2918, 0.2872, 0.2788, 0.2662"
7,"function, graph, appears, relation, shown, domain, yintercept, identify, range, inverse","1.3915, 0.7605, 0.3288, 0.2948, 0.1776, 0.1501, 0.1488, 0.1271, 0.1243, 0.1037"
8,"data, set, shows, students, table, standard, deviation, plot, mean, relationship","1.1183, 0.9987, 0.5240, 0.2980, 0.2680, 0.2041, 0.1961, 0.1952, 0.1896, 0.1800"
9,"equation, following, property, makes, circle, model, relationship, true, values, line","1.9395, 0.4722, 0.2268, 0.1392, 0.1352, 0.1188, 0.1184, 0.0962, 0.0866, 0.0836"
