nmf_component_id,top_keywords,keyword_weights
0,"represents, best, graph, describes, inequality, amount, situation, solutions, fit, relationship","3.1127, 2.8667, 1.3357, 0.5153, 0.3444, 0.2820, 0.2792, 0.2524, 0.1960, 0.1849"
1,"value, makes, expression, values, proves, true, estimate, place, rectangle, given","1.9403, 0.1770, 0.1297, 0.0788, 0.0554, 0.0474, 0.0437, 0.0349, 0.0338, 0.0284"
2,"solution, set, system, equations, inequality, real, graph, sentence, graphed, must","2.2807, 0.3523, 0.2822, 0.1828, 0.1802, 0.1033, 0.0925, 0.0514, 0.0336, 0.0315"
3,"equivalent, expression, zero, equal, denominator, polynomial, equals, simplest, form, identify","1.4817, 1.3857, 0.3859, 0.2583, 0.2057, 0.1511, 0.1379, 0.1301, 0.1171, 0.1005"
4,"number, total, sentence, shows, miles, table, property, using, square, days","1.8265, 0.5427, 0.5261, 0.2076, 0.1653, 0.1372, 0.1363, 0.1248, 0.1209, 0.1205"
5,"statement, true, makes, make, based, triangles, days, sentence, centimeters, percent","1.5587, 1.4460, 0.2509, 0.2151, 0.1222, 0.1066, 0.1060, 0.0948, 0.0859, 0.0853"
6,"line, represented, slope, points, table, contains, point, graph, parallel, plot","1.6133, 0.6393, 0.4197, 0.3818, 0.2086, 0.1929, 0.1636, 0.1244, 0.1197, 0.1048"
7,"function, graph, appears, relation, domain, yintercept, shown, identify, range, inverse","1.4368, 0.7672, 0.3275, 0.2954, 0.1539, 0.1482, 0.1309, 0.1213, 0.1211, 0.1051"
8,"data, set, shows, students, table, standard, deviation, mean, student, plot","1.1806, 1.0818, 0.5184, 0.3063, 0.2357, 0.2191, 0.2112, 0.2022, 0.1846, 0.1804"
9,"equation, property, makes, true, relationship, using, used, distance, key, shown","2.3276, 0.3023, 0.1921, 0.1584, 0.1547, 0.1087, 0.0993, 0.0905, 0.0865, 0.0817"
10,"triangle, used, find, angle, similar, right, could, lengths, square, side","1.7402, 0.3997, 0.3456, 0.3222, 0.2931, 0.2888, 0.2810, 0.2258, 0.2149, 0.1961"
11,"model, shaded, represent, fraction, represented, whole, one, two, fractions, could","1.0166, 0.6839, 0.6327, 0.3651, 0.3466, 0.2677, 0.2364, 0.2294, 0.1371, 0.1315"
12,"following, describes, end, form, simplest, factor, values, could, angles, statement","1.5988, 0.6065, 0.3818, 0.3264, 0.1393, 0.1127, 0.1123, 0.1098, 0.0923, 0.0918"
13,"shown, figure, closest, prism, height, rectangular, area, measure, length, volume","1.0415, 0.6276, 0.4901, 0.3135, 0.2923, 0.2828, 0.2629, 0.2243, 0.2076, 0.2018"
14,"circle, given, point, length, center, lies, radius, system, units, angle","1.1400, 0.8786, 0.5011, 0.3856, 0.2685, 0.2417, 0.2357, 0.1268, 0.1196, 0.1174"
